NC_010554.1 Proteus mirabilis HI4320, complete genome
NZ_LJCS01000065.1 Photorhabdus heterorhabditis strain VMG contig065, whole genome shotgun sequence
NZ_LJCS01000066.1 Photorhabdus heterorhabditis strain VMG contig066, whole genome shotgun sequence
NZ_LJCS01000067.1 Photorhabdus heterorhabditis strain VMG contig067, whole genome shotgun sequence
NZ_LJCS01000068.1 Photorhabdus heterorhabditis strain VMG contig068, whole genome shotgun sequence
NZ_LJCS01000069.1 Photorhabdus heterorhabditis strain VMG contig069, whole genome shotgun sequence
NZ_LJCS01000070.1 Photorhabdus heterorhabditis strain VMG contig070, whole genome shotgun sequence
NZ_LJCS01000071.1 Photorhabdus heterorhabditis strain VMG contig071, whole genome shotgun sequence
NZ_LJCS01000072.1 Photorhabdus heterorhabditis strain VMG contig072, whole genome shotgun sequence
NZ_LJCS01000073.1 Photorhabdus heterorhabditis strain VMG contig073, whole genome shotgun sequence
NZ_LJCS01000074.1 Photorhabdus heterorhabditis strain VMG contig074, whole genome shotgun sequence
NZ_LJCS01000075.1 Photorhabdus heterorhabditis strain VMG contig075, whole genome shotgun sequence
NZ_LJCS01000076.1 Photorhabdus heterorhabditis strain VMG contig076, whole genome shotgun sequence
NZ_LJCS01000077.1 Photorhabdus heterorhabditis strain VMG contig077, whole genome shotgun sequence
NZ_LJCS01000078.1 Photorhabdus heterorhabditis strain VMG contig078, whole genome shotgun sequence
NZ_LJCS01000079.1 Photorhabdus heterorhabditis strain VMG contig079, whole genome shotgun sequence
NZ_LJCS01000080.1 Photorhabdus heterorhabditis strain VMG contig080, whole genome shotgun sequence
NZ_LJCS01000081.1 Photorhabdus heterorhabditis strain VMG contig081, whole genome shotgun sequence
NZ_LJCS01000082.1 Photorhabdus heterorhabditis strain VMG contig082, whole genome shotgun sequence
NZ_LJCS01000083.1 Photorhabdus heterorhabditis strain VMG contig083, whole genome shotgun sequence
NZ_LJCS01000084.1 Photorhabdus heterorhabditis strain VMG contig084, whole genome shotgun sequence
NZ_LJCS01000085.1 Photorhabdus heterorhabditis strain VMG contig085, whole genome shotgun sequence
NZ_LJCS01000086.1 Photorhabdus heterorhabditis strain VMG contig086, whole genome shotgun sequence
NZ_LJCS01000087.1 Photorhabdus heterorhabditis strain VMG contig087, whole genome shotgun sequence
NZ_LJCS01000088.1 Photorhabdus heterorhabditis strain VMG contig088, whole genome shotgun sequence
NZ_LJCS01000089.1 Photorhabdus heterorhabditis strain VMG contig089, whole genome shotgun sequence
NZ_LJCS01000090.1 Photorhabdus heterorhabditis strain VMG contig090, whole genome shotgun sequence
NZ_LJCS01000091.1 Photorhabdus heterorhabditis strain VMG contig091, whole genome shotgun sequence
NZ_LJCS01000092.1 Photorhabdus heterorhabditis strain VMG contig092, whole genome shotgun sequence
NZ_LJCS01000093.1 Photorhabdus heterorhabditis strain VMG contig093, whole genome shotgun sequence
NZ_LJCS01000094.1 Photorhabdus heterorhabditis strain VMG contig094, whole genome shotgun sequence
NZ_LJCS01000095.1 Photorhabdus heterorhabditis strain VMG contig095, whole genome shotgun sequence
NZ_LJCS01000096.1 Photorhabdus heterorhabditis strain VMG contig096, whole genome shotgun sequence
NZ_LJCS01000097.1 Photorhabdus heterorhabditis strain VMG contig097, whole genome shotgun sequence
NZ_LJCS01000098.1 Photorhabdus heterorhabditis strain VMG contig098, whole genome shotgun sequence
NZ_LJCS01000099.1 Photorhabdus heterorhabditis strain VMG contig099, whole genome shotgun sequence
NZ_LJCS01000100.1 Photorhabdus heterorhabditis strain VMG contig100, whole genome shotgun sequence
NZ_LJCS01000101.1 Photorhabdus heterorhabditis strain VMG contig101, whole genome shotgun sequence
NZ_LJCS01000102.1 Photorhabdus heterorhabditis strain VMG contig102, whole genome shotgun sequence
NZ_LJCS01000103.1 Photorhabdus heterorhabditis strain VMG contig103, whole genome shotgun sequence
